id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2008-01-01 00:00:00;3454.07000000
NE;NORDESTE;2008-01-01 00:00:00;7082.07000000
S;SUL;2008-01-01 00:00:00;6647.90000000
SE;SUDESTE;2008-01-01 00:00:00;27750.46000000
N;NORTE;2008-01-01 01:00:00;3381.12000000
NE;NORDESTE;2008-01-01 01:00:00;6780.95000000
S;SUL;2008-01-01 01:00:00;6452.26000000
SE;SUDESTE;2008-01-01 01:00:00;27372.37000000
N;NORTE;2008-01-01 02:00:00;3346.96000000
NE;NORDESTE;2008-01-01 02:00:00;6613.40000000
S;SUL;2008-01-01 02:00:00;6064.53000000
SE;SUDESTE;2008-01-01 02:00:00;26667.32000000
N;NORTE;2008-01-01 03:00:00;3328.38000000
NE;NORDESTE;2008-01-01 03:00:00;6468.45000000
S;SUL;2008-01-01 03:00:00;5744.96000000
SE;SUDESTE;2008-01-01 03:00:00;25793.46000000
N;NORTE;2008-01-01 04:00:00;3301.78000000
NE;NORDESTE;2008-01-01 04:00:00;6293.41000000
S;SUL;2008-01-01 04:00:00;5580.61999999
SE;SUDESTE;2008-01-01 04:00:00;25161.82000000
N;NORTE;2008-01-01 05:00:00;3262.60999999
NE;NORDESTE;2008-01-01 05:00:00;6146.01000000
S;SUL;2008-01-01 05:00:00;5498.45000000
SE;SUDESTE;2008-01-01 05:00:00;24515.83000000
N;NORTE;2008-01-01 06:00:00;3233.15000000
NE;NORDESTE;2008-01-01 06:00:00;5527.25000000
S;SUL;2008-01-01 06:00:00;5207.39000000
SE;SUDESTE;2008-01-01 06:00:00;23034.61999999
N;NORTE;2008-01-01 07:00:00;3095.74000000
NE;NORDESTE;2008-01-01 07:00:00;5287.28000000
S;SUL;2008-01-01 07:00:00;4987.40000000
SE;SUDESTE;2008-01-01 07:00:00;22522.55000000
N;NORTE;2008-01-01 08:00:00;3037.68999999
NE;NORDESTE;2008-01-01 08:00:00;5327.24000000
S;SUL;2008-01-01 08:00:00;5130.13999999
SE;SUDESTE;2008-01-01 08:00:00;22919.84999999
N;NORTE;2008-01-01 09:00:00;3031.28000000
NE;NORDESTE;2008-01-01 09:00:00;5463.42000000
S;SUL;2008-01-01 09:00:00;5371.62000000
SE;SUDESTE;2008-01-01 09:00:00;23611.24000000
N;NORTE;2008-01-01 10:00:00;3039.43000000
NE;NORDESTE;2008-01-01 10:00:00;5559.36000000
S;SUL;2008-01-01 10:00:00;5616.56000000
SE;SUDESTE;2008-01-01 10:00:00;24039.73000000
N;NORTE;2008-01-01 11:00:00;3019.92000000
NE;NORDESTE;2008-01-01 11:00:00;5616.90000000
S;SUL;2008-01-01 11:00:00;5657.54000000
SE;SUDESTE;2008-01-01 11:00:00;24315.92000000
N;NORTE;2008-01-01 12:00:00;3040.07000000
NE;NORDESTE;2008-01-01 12:00:00;5605.48000000
S;SUL;2008-01-01 12:00:00;5537.83000000
SE;SUDESTE;2008-01-01 12:00:00;24130.00999999
N;NORTE;2008-01-01 13:00:00;3020.27000000
NE;NORDESTE;2008-01-01 13:00:00;5576.26000000
S;SUL;2008-01-01 13:00:00;5460.27999999
SE;SUDESTE;2008-01-01 13:00:00;23646.17999999
N;NORTE;2008-01-01 14:00:00;3014.44000000
NE;NORDESTE;2008-01-01 14:00:00;5599.84000000
S;SUL;2008-01-01 14:00:00;5531.26000000
SE;SUDESTE;2008-01-01 14:00:00;23572.00000000
N;NORTE;2008-01-01 15:00:00;3024.30000000
NE;NORDESTE;2008-01-01 15:00:00;5646.58999999
S;SUL;2008-01-01 15:00:00;5663.83000000
SE;SUDESTE;2008-01-01 15:00:00;23629.86000000
N;NORTE;2008-01-01 16:00:00;3024.50000000
NE;NORDESTE;2008-01-01 16:00:00;5596.10999999
S;SUL;2008-01-01 16:00:00;5758.07000000
SE;SUDESTE;2008-01-01 16:00:00;24062.01999999
N;NORTE;2008-01-01 17:00:00;3025.95000000
NE;NORDESTE;2008-01-01 17:00:00;5598.07000000
S;SUL;2008-01-01 17:00:00;5895.87999999
SE;SUDESTE;2008-01-01 17:00:00;24543.26999999
N;NORTE;2008-01-01 18:00:00;3101.08000000
NE;NORDESTE;2008-01-01 18:00:00;5831.96999999
S;SUL;2008-01-01 18:00:00;6146.69000000
SE;SUDESTE;2008-01-01 18:00:00;25177.52000000
N;NORTE;2008-01-01 19:00:00;3372.28000000
NE;NORDESTE;2008-01-01 19:00:00;7410.41000000
S;SUL;2008-01-01 19:00:00;6446.64000000
SE;SUDESTE;2008-01-01 19:00:00;26598.87999999
N;NORTE;2008-01-01 20:00:00;3618.05000000
NE;NORDESTE;2008-01-01 20:00:00;7814.65000000
S;SUL;2008-01-01 20:00:00;7458.41000000
SE;SUDESTE;2008-01-01 20:00:00;31397.17999999
N;NORTE;2008-01-01 21:00:00;3599.54000000
NE;NORDESTE;2008-01-01 21:00:00;7662.03000000
S;SUL;2008-01-01 21:00:00;8288.20000000
SE;SUDESTE;2008-01-01 21:00:00;31894.85000000
N;NORTE;2008-01-01 22:00:00;3569.79000000
NE;NORDESTE;2008-01-01 22:00:00;7487.12000000
S;SUL;2008-01-01 22:00:00;7967.65000000
SE;SUDESTE;2008-01-01 22:00:00;30919.82999999
N;NORTE;2008-01-01 23:00:00;3518.18000000
NE;NORDESTE;2008-01-01 23:00:00;7214.44000000
S;SUL;2008-01-01 23:00:00;7470.51000000
SE;SUDESTE;2008-01-01 23:00:00;29564.17999999
N;NORTE;2008-01-02 00:00:00;3401.87000000
NE;NORDESTE;2008-01-02 00:00:00;6867.21000000
S;SUL;2008-01-02 00:00:00;6968.52000000
SE;SUDESTE;2008-01-02 00:00:00;27930.86000000
N;NORTE;2008-01-02 01:00:00;3326.56000000
NE;NORDESTE;2008-01-02 01:00:00;6509.36000000
S;SUL;2008-01-02 01:00:00;6363.28000000
SE;SUDESTE;2008-01-02 01:00:00;26213.79999999
N;NORTE;2008-01-02 02:00:00;3282.41000000
NE;NORDESTE;2008-01-02 02:00:00;6354.91000000
S;SUL;2008-01-02 02:00:00;6127.02000000
SE;SUDESTE;2008-01-02 02:00:00;25207.71999999
N;NORTE;2008-01-02 03:00:00;3269.04000000
NE;NORDESTE;2008-01-02 03:00:00;6278.37000000
S;SUL;2008-01-02 03:00:00;6030.99999999
SE;SUDESTE;2008-01-02 03:00:00;24995.90999999
N;NORTE;2008-01-02 04:00:00;3237.05000000
NE;NORDESTE;2008-01-02 04:00:00;6242.42999999
S;SUL;2008-01-02 04:00:00;6054.49000000
SE;SUDESTE;2008-01-02 04:00:00;25008.96000000
N;NORTE;2008-01-02 05:00:00;3222.75000000
NE;NORDESTE;2008-01-02 05:00:00;6276.83000000
S;SUL;2008-01-02 05:00:00;6257.85000000
SE;SUDESTE;2008-01-02 05:00:00;25667.92000000
N;NORTE;2008-01-02 06:00:00;3214.49000000
NE;NORDESTE;2008-01-02 06:00:00;5878.54000000
S;SUL;2008-01-02 06:00:00;6508.51000000
SE;SUDESTE;2008-01-02 06:00:00;26871.91000000
N;NORTE;2008-01-02 07:00:00;3140.05000000
NE;NORDESTE;2008-01-02 07:00:00;5896.24000000
S;SUL;2008-01-02 07:00:00;7014.39999999
SE;SUDESTE;2008-01-02 07:00:00;28350.15000000
N;NORTE;2008-01-02 08:00:00;3179.76000000
NE;NORDESTE;2008-01-02 08:00:00;6544.78000000
S;SUL;2008-01-02 08:00:00;8069.03999999
SE;SUDESTE;2008-01-02 08:00:00;31239.64000000
N;NORTE;2008-01-02 09:00:00;3345.55000000
NE;NORDESTE;2008-01-02 09:00:00;7378.63000000
S;SUL;2008-01-02 09:00:00;8674.56000000
SE;SUDESTE;2008-01-02 09:00:00;33090.17000000
N;NORTE;2008-01-02 10:00:00;3430.76000000
NE;NORDESTE;2008-01-02 10:00:00;7745.78000000
S;SUL;2008-01-02 10:00:00;9061.27000000
SE;SUDESTE;2008-01-02 10:00:00;34060.57000000
N;NORTE;2008-01-02 11:00:00;3448.88999999
NE;NORDESTE;2008-01-02 11:00:00;7947.08999999
S;SUL;2008-01-02 11:00:00;9201.97000000
SE;SUDESTE;2008-01-02 11:00:00;34062.05000000
N;NORTE;2008-01-02 12:00:00;3468.59000000
NE;NORDESTE;2008-01-02 12:00:00;7830.95000000
S;SUL;2008-01-02 12:00:00;8786.51000000
SE;SUDESTE;2008-01-02 12:00:00;33932.71999999
N;NORTE;2008-01-02 13:00:00;3433.03000000
NE;NORDESTE;2008-01-02 13:00:00;7663.87999999
S;SUL;2008-01-02 13:00:00;9353.77000000
SE;SUDESTE;2008-01-02 13:00:00;34829.68999999
N;NORTE;2008-01-02 14:00:00;3495.24000000
NE;NORDESTE;2008-01-02 14:00:00;7871.60999999
S;SUL;2008-01-02 14:00:00;9720.22000000
SE;SUDESTE;2008-01-02 14:00:00;35373.97000000
N;NORTE;2008-01-02 15:00:00;3572.51000000
NE;NORDESTE;2008-01-02 15:00:00;8128.36000000
S;SUL;2008-01-02 15:00:00;9697.91000000
SE;SUDESTE;2008-01-02 15:00:00;35486.86000000
N;NORTE;2008-01-02 16:00:00;3580.21000000
NE;NORDESTE;2008-01-02 16:00:00;8052.17999999
S;SUL;2008-01-02 16:00:00;9641.91000000
SE;SUDESTE;2008-01-02 16:00:00;35340.06000000
N;NORTE;2008-01-02 17:00:00;3561.43000000
NE;NORDESTE;2008-01-02 17:00:00;7856.06000000
S;SUL;2008-01-02 17:00:00;9322.10000000
SE;SUDESTE;2008-01-02 17:00:00;34118.06000000
N;NORTE;2008-01-02 18:00:00;3490.02000000
NE;NORDESTE;2008-01-02 18:00:00;7396.91000000
S;SUL;2008-01-02 18:00:00;8636.48000000
SE;SUDESTE;2008-01-02 18:00:00;32306.06000000
N;NORTE;2008-01-02 19:00:00;3670.92000000
NE;NORDESTE;2008-01-02 19:00:00;8337.73000000
S;SUL;2008-01-02 19:00:00;8193.21000000
SE;SUDESTE;2008-01-02 19:00:00;32318.67000000
N;NORTE;2008-01-02 20:00:00;3829.88000000
NE;NORDESTE;2008-01-02 20:00:00;8504.09999999
S;SUL;2008-01-02 20:00:00;9127.54000000
SE;SUDESTE;2008-01-02 20:00:00;36117.63000000
N;NORTE;2008-01-02 21:00:00;3757.67000000
NE;NORDESTE;2008-01-02 21:00:00;8261.29000000
S;SUL;2008-01-02 21:00:00;9709.00000000
SE;SUDESTE;2008-01-02 21:00:00;36222.12000000
N;NORTE;2008-01-02 22:00:00;3686.71000000
NE;NORDESTE;2008-01-02 22:00:00;8432.45000000
S;SUL;2008-01-02 22:00:00;9684.05000000
SE;SUDESTE;2008-01-02 22:00:00;35600.12000000
N;NORTE;2008-01-02 23:00:00;3589.03000000
NE;NORDESTE;2008-01-02 23:00:00;8043.93000000
S;SUL;2008-01-02 23:00:00;9012.85000000
SE;SUDESTE;2008-01-02 23:00:00;33387.10000000
N;NORTE;2008-01-03 00:00:00;3483.81000000
NE;NORDESTE;2008-01-03 00:00:00;7604.70000000
S;SUL;2008-01-03 00:00:00;8199.82999999
SE;SUDESTE;2008-01-03 00:00:00;31271.96999999
N;NORTE;2008-01-03 01:00:00;3389.12000000
NE;NORDESTE;2008-01-03 01:00:00;7198.62999999
S;SUL;2008-01-03 01:00:00;7629.32000000
SE;SUDESTE;2008-01-03 01:00:00;29120.59000000
N;NORTE;2008-01-03 02:00:00;3370.14000000
NE;NORDESTE;2008-01-03 02:00:00;7023.78000000
S;SUL;2008-01-03 02:00:00;7345.28000000
SE;SUDESTE;2008-01-03 02:00:00;28044.93999999
N;NORTE;2008-01-03 03:00:00;3328.15000000
NE;NORDESTE;2008-01-03 03:00:00;6925.63000000
S;SUL;2008-01-03 03:00:00;7140.19000000
SE;SUDESTE;2008-01-03 03:00:00;27615.52999999
N;NORTE;2008-01-03 04:00:00;3314.84000000
NE;NORDESTE;2008-01-03 04:00:00;6873.00000000
S;SUL;2008-01-03 04:00:00;7080.74000000
SE;SUDESTE;2008-01-03 04:00:00;27567.84000000
N;NORTE;2008-01-03 05:00:00;3301.33000000
NE;NORDESTE;2008-01-03 05:00:00;6806.04000000
S;SUL;2008-01-03 05:00:00;7222.99999999
