id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2012-01-01 00:00:00;3960.99999999
NE;NORDESTE;2012-01-01 00:00:00;7917.46900000
S;SUL;2012-01-01 00:00:00;7253.93999999
SE;SUDESTE;2012-01-01 00:00:00;28212.45999999
N;NORTE;2012-01-01 01:00:00;3865.58999999
NE;NORDESTE;2012-01-01 01:00:00;7581.58000000
S;SUL;2012-01-01 01:00:00;6890.37100000
SE;SUDESTE;2012-01-01 01:00:00;27511.76999999
N;NORTE;2012-01-01 02:00:00;3840.72999999
NE;NORDESTE;2012-01-01 02:00:00;7440.47399999
S;SUL;2012-01-01 02:00:00;6414.70199999
SE;SUDESTE;2012-01-01 02:00:00;26339.97000000
N;NORTE;2012-01-01 03:00:00;3844.45000000
NE;NORDESTE;2012-01-01 03:00:00;7381.91500000
S;SUL;2012-01-01 03:00:00;6093.84199999
SE;SUDESTE;2012-01-01 03:00:00;25318.01000000
N;NORTE;2012-01-01 04:00:00;3826.53000000
NE;NORDESTE;2012-01-01 04:00:00;7248.56999999
S;SUL;2012-01-01 04:00:00;5908.57100000
SE;SUDESTE;2012-01-01 04:00:00;24543.74000000
N;NORTE;2012-01-01 05:00:00;3799.30000000
NE;NORDESTE;2012-01-01 05:00:00;7103.56399999
S;SUL;2012-01-01 05:00:00;5843.03900000
SE;SUDESTE;2012-01-01 05:00:00;24096.43999999
N;NORTE;2012-01-01 06:00:00;3758.97000000
NE;NORDESTE;2012-01-01 06:00:00;6473.24900000
S;SUL;2012-01-01 06:00:00;5661.15400000
SE;SUDESTE;2012-01-01 06:00:00;22958.91999999
N;NORTE;2012-01-01 07:00:00;3601.52000000
NE;NORDESTE;2012-01-01 07:00:00;6171.21500000
S;SUL;2012-01-01 07:00:00;5424.43500000
SE;SUDESTE;2012-01-01 07:00:00;21940.99999999
N;NORTE;2012-01-01 08:00:00;3538.64999999
NE;NORDESTE;2012-01-01 08:00:00;6266.93200000
S;SUL;2012-01-01 08:00:00;5670.48100000
SE;SUDESTE;2012-01-01 08:00:00;22369.55000000
N;NORTE;2012-01-01 09:00:00;3534.20000000
NE;NORDESTE;2012-01-01 09:00:00;6358.62099999
S;SUL;2012-01-01 09:00:00;5990.20700000
SE;SUDESTE;2012-01-01 09:00:00;23350.36000000
N;NORTE;2012-01-01 10:00:00;3572.84000000
NE;NORDESTE;2012-01-01 10:00:00;6440.18600000
S;SUL;2012-01-01 10:00:00;6388.10800000
SE;SUDESTE;2012-01-01 10:00:00;24476.07000000
N;NORTE;2012-01-01 11:00:00;3603.90000000
NE;NORDESTE;2012-01-01 11:00:00;6487.68699999
S;SUL;2012-01-01 11:00:00;6562.12600000
SE;SUDESTE;2012-01-01 11:00:00;25528.98000000
N;NORTE;2012-01-01 12:00:00;3383.13000000
NE;NORDESTE;2012-01-01 12:00:00;6515.17800000
S;SUL;2012-01-01 12:00:00;6344.47300000
SE;SUDESTE;2012-01-01 12:00:00;25597.24999999
N;NORTE;2012-01-01 13:00:00;3430.84999999
NE;NORDESTE;2012-01-01 13:00:00;6484.42600000
S;SUL;2012-01-01 13:00:00;6134.40800000
SE;SUDESTE;2012-01-01 13:00:00;24916.63999999
N;NORTE;2012-01-01 14:00:00;3496.33999999
NE;NORDESTE;2012-01-01 14:00:00;6449.69299999
S;SUL;2012-01-01 14:00:00;6112.05400000
SE;SUDESTE;2012-01-01 14:00:00;24371.87999999
N;NORTE;2012-01-01 15:00:00;3477.41000000
NE;NORDESTE;2012-01-01 15:00:00;6440.05200000
S;SUL;2012-01-01 15:00:00;6145.45000000
SE;SUDESTE;2012-01-01 15:00:00;24452.06000000
N;NORTE;2012-01-01 16:00:00;3546.68999999
NE;NORDESTE;2012-01-01 16:00:00;6465.64299999
S;SUL;2012-01-01 16:00:00;6274.10800000
SE;SUDESTE;2012-01-01 16:00:00;24965.59999999
N;NORTE;2012-01-01 17:00:00;3545.00000000
NE;NORDESTE;2012-01-01 17:00:00;6484.60800000
S;SUL;2012-01-01 17:00:00;6532.63100000
SE;SUDESTE;2012-01-01 17:00:00;26068.30000000
N;NORTE;2012-01-01 18:00:00;3604.53000000
NE;NORDESTE;2012-01-01 18:00:00;6694.69500000
S;SUL;2012-01-01 18:00:00;6938.97400000
SE;SUDESTE;2012-01-01 18:00:00;27422.13000000
N;NORTE;2012-01-01 19:00:00;3799.17999999
NE;NORDESTE;2012-01-01 19:00:00;8393.30400000
S;SUL;2012-01-01 19:00:00;7317.09499999
SE;SUDESTE;2012-01-01 19:00:00;29307.38000000
N;NORTE;2012-01-01 20:00:00;4183.24000000
NE;NORDESTE;2012-01-01 20:00:00;8767.87999999
S;SUL;2012-01-01 20:00:00;8310.97799999
SE;SUDESTE;2012-01-01 20:00:00;32913.75999999
N;NORTE;2012-01-01 21:00:00;4168.68999999
NE;NORDESTE;2012-01-01 21:00:00;8629.81900000
S;SUL;2012-01-01 21:00:00;9075.76300000
SE;SUDESTE;2012-01-01 21:00:00;33255.76000000
N;NORTE;2012-01-01 22:00:00;4091.68999999
NE;NORDESTE;2012-01-01 22:00:00;8452.44300000
S;SUL;2012-01-01 22:00:00;8624.57699999
SE;SUDESTE;2012-01-01 22:00:00;31777.65999999
N;NORTE;2012-01-01 23:00:00;4034.51999999
NE;NORDESTE;2012-01-01 23:00:00;8151.16100000
S;SUL;2012-01-01 23:00:00;7930.67999999
SE;SUDESTE;2012-01-01 23:00:00;29479.35000000
N;NORTE;2012-01-02 00:00:00;4012.30000000
NE;NORDESTE;2012-01-02 00:00:00;7822.21000000
S;SUL;2012-01-02 00:00:00;7136.06899999
SE;SUDESTE;2012-01-02 00:00:00;26886.62999999
N;NORTE;2012-01-02 01:00:00;3906.85000000
NE;NORDESTE;2012-01-02 01:00:00;7510.52599999
S;SUL;2012-01-02 01:00:00;6651.10200000
SE;SUDESTE;2012-01-02 01:00:00;25163.34999999
N;NORTE;2012-01-02 02:00:00;3849.88000000
NE;NORDESTE;2012-01-02 02:00:00;7296.85000000
S;SUL;2012-01-02 02:00:00;6401.51600000
SE;SUDESTE;2012-01-02 02:00:00;24260.40000000
N;NORTE;2012-01-02 03:00:00;3838.42000000
NE;NORDESTE;2012-01-02 03:00:00;7172.71700000
S;SUL;2012-01-02 03:00:00;6290.88700000
SE;SUDESTE;2012-01-02 03:00:00;23815.66000000
N;NORTE;2012-01-02 04:00:00;3799.90000000
NE;NORDESTE;2012-01-02 04:00:00;7102.55100000
S;SUL;2012-01-02 04:00:00;6301.99200000
SE;SUDESTE;2012-01-02 04:00:00;23973.43999999
N;NORTE;2012-01-02 05:00:00;3779.05000000
NE;NORDESTE;2012-01-02 05:00:00;7062.84000000
S;SUL;2012-01-02 05:00:00;6531.73700000
SE;SUDESTE;2012-01-02 05:00:00;24809.51999999
N;NORTE;2012-01-02 06:00:00;3742.13000000
NE;NORDESTE;2012-01-02 06:00:00;6638.31799999
S;SUL;2012-01-02 06:00:00;6848.80200000
SE;SUDESTE;2012-01-02 06:00:00;26211.62000000
N;NORTE;2012-01-02 07:00:00;3624.08999999
NE;NORDESTE;2012-01-02 07:00:00;6887.47499999
S;SUL;2012-01-02 07:00:00;7410.54899999
SE;SUDESTE;2012-01-02 07:00:00;27684.08000000
N;NORTE;2012-01-02 08:00:00;3647.16000000
NE;NORDESTE;2012-01-02 08:00:00;7787.07700000
S;SUL;2012-01-02 08:00:00;8431.91700000
SE;SUDESTE;2012-01-02 08:00:00;30229.37999999
N;NORTE;2012-01-02 09:00:00;3875.08999999
NE;NORDESTE;2012-01-02 09:00:00;8648.11499999
S;SUL;2012-01-02 09:00:00;9025.34899999
SE;SUDESTE;2012-01-02 09:00:00;32226.78000000
N;NORTE;2012-01-02 10:00:00;4069.76000000
NE;NORDESTE;2012-01-02 10:00:00;9057.87500000
S;SUL;2012-01-02 10:00:00;9467.62200000
SE;SUDESTE;2012-01-02 10:00:00;33651.22000000
N;NORTE;2012-01-02 11:00:00;4104.60999999
NE;NORDESTE;2012-01-02 11:00:00;9282.86400000
S;SUL;2012-01-02 11:00:00;9669.71600000
SE;SUDESTE;2012-01-02 11:00:00;33947.34000000
N;NORTE;2012-01-02 12:00:00;4130.19000000
NE;NORDESTE;2012-01-02 12:00:00;9189.04000000
S;SUL;2012-01-02 12:00:00;9239.50200000
SE;SUDESTE;2012-01-02 12:00:00;34018.72999999
N;NORTE;2012-01-02 13:00:00;4056.57999999
NE;NORDESTE;2012-01-02 13:00:00;9111.71499999
S;SUL;2012-01-02 13:00:00;9638.92999999
SE;SUDESTE;2012-01-02 13:00:00;34574.74999999
N;NORTE;2012-01-02 14:00:00;4146.12999999
NE;NORDESTE;2012-01-02 14:00:00;9353.70000000
S;SUL;2012-01-02 14:00:00;9984.51500000
SE;SUDESTE;2012-01-02 14:00:00;34825.68999999
N;NORTE;2012-01-02 15:00:00;4255.76999999
NE;NORDESTE;2012-01-02 15:00:00;9573.57500000
S;SUL;2012-01-02 15:00:00;10037.26900000
SE;SUDESTE;2012-01-02 15:00:00;34987.08999999
N;NORTE;2012-01-02 16:00:00;4173.51000000
NE;NORDESTE;2012-01-02 16:00:00;9474.86300000
S;SUL;2012-01-02 16:00:00;10027.11700000
SE;SUDESTE;2012-01-02 16:00:00;35061.44999999
N;NORTE;2012-01-02 17:00:00;4181.36999999
NE;NORDESTE;2012-01-02 17:00:00;8994.91300000
S;SUL;2012-01-02 17:00:00;9743.79400000
SE;SUDESTE;2012-01-02 17:00:00;34725.80000000
N;NORTE;2012-01-02 18:00:00;4039.54999999
NE;NORDESTE;2012-01-02 18:00:00;8178.83200000
S;SUL;2012-01-02 18:00:00;9178.31600000
SE;SUDESTE;2012-01-02 18:00:00;33394.77000000
N;NORTE;2012-01-02 19:00:00;4095.83000000
NE;NORDESTE;2012-01-02 19:00:00;9114.32400000
S;SUL;2012-01-02 19:00:00;8458.26200000
SE;SUDESTE;2012-01-02 19:00:00;33351.28999999
N;NORTE;2012-01-02 20:00:00;4329.34999999
NE;NORDESTE;2012-01-02 20:00:00;9312.44199999
S;SUL;2012-01-02 20:00:00;9390.14899999
SE;SUDESTE;2012-01-02 20:00:00;36968.94999999
N;NORTE;2012-01-02 21:00:00;4276.34999999
NE;NORDESTE;2012-01-02 21:00:00;9157.45400000
S;SUL;2012-01-02 21:00:00;10234.41899999
SE;SUDESTE;2012-01-02 21:00:00;36982.45000000
N;NORTE;2012-01-02 22:00:00;4334.72000000
NE;NORDESTE;2012-01-02 22:00:00;9544.58000000
S;SUL;2012-01-02 22:00:00;10391.71300000
SE;SUDESTE;2012-01-02 22:00:00;36263.73000000
N;NORTE;2012-01-02 23:00:00;4290.17000000
NE;NORDESTE;2012-01-02 23:00:00;9235.50200000
S;SUL;2012-01-02 23:00:00;9695.26700000
SE;SUDESTE;2012-01-02 23:00:00;33341.45999999
N;NORTE;2012-01-03 00:00:00;4159.44000000
NE;NORDESTE;2012-01-03 00:00:00;8773.66700000
S;SUL;2012-01-03 00:00:00;8649.77900000
SE;SUDESTE;2012-01-03 00:00:00;30163.85000000
N;NORTE;2012-01-03 01:00:00;4018.99000000
NE;NORDESTE;2012-01-03 01:00:00;8330.84099999
S;SUL;2012-01-03 01:00:00;7956.78899999
SE;SUDESTE;2012-01-03 01:00:00;27924.46999999
N;NORTE;2012-01-03 02:00:00;3945.00000000
NE;NORDESTE;2012-01-03 02:00:00;8056.52099999
S;SUL;2012-01-03 02:00:00;7607.94999999
SE;SUDESTE;2012-01-03 02:00:00;26981.97999999
N;NORTE;2012-01-03 03:00:00;3908.20000000
NE;NORDESTE;2012-01-03 03:00:00;7898.58300000
S;SUL;2012-01-03 03:00:00;7469.31100000
