id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2020-01-01 00:00:00;4889.14600000
NE;NORDESTE;2020-01-01 00:00:00;9617.97500000
S;SUL;2020-01-01 00:00:00;10013.74200000
SE;SUDESTE;2020-01-01 00:00:00;33108.86150000
N;NORTE;2020-01-01 01:00:00;4953.31499999
NE;NORDESTE;2020-01-01 01:00:00;9628.51700000
S;SUL;2020-01-01 01:00:00;10372.60399999
SE;SUDESTE;2020-01-01 01:00:00;33368.40850000
N;NORTE;2020-01-01 02:00:00;4992.29000000
NE;NORDESTE;2020-01-01 02:00:00;9652.75600000
S;SUL;2020-01-01 02:00:00;10257.51100000
SE;SUDESTE;2020-01-01 02:00:00;33040.68200000
N;NORTE;2020-01-01 03:00:00;5005.23799999
NE;NORDESTE;2020-01-01 03:00:00;9600.85900000
S;SUL;2020-01-01 03:00:00;9977.65900000
SE;SUDESTE;2020-01-01 03:00:00;32399.09650000
N;NORTE;2020-01-01 04:00:00;5006.65000000
NE;NORDESTE;2020-01-01 04:00:00;9496.76600000
S;SUL;2020-01-01 04:00:00;9742.85600000
SE;SUDESTE;2020-01-01 04:00:00;31776.13050000
N;NORTE;2020-01-01 05:00:00;4983.68500000
NE;NORDESTE;2020-01-01 05:00:00;8875.65600000
S;SUL;2020-01-01 05:00:00;9299.26700000
SE;SUDESTE;2020-01-01 05:00:00;30001.08399999
N;NORTE;2020-01-01 06:00:00;4752.95700000
NE;NORDESTE;2020-01-01 06:00:00;8331.65599999
S;SUL;2020-01-01 06:00:00;8808.47200000
SE;SUDESTE;2020-01-01 06:00:00;28781.11600000
N;NORTE;2020-01-01 07:00:00;4567.79800000
NE;NORDESTE;2020-01-01 07:00:00;8280.96899999
S;SUL;2020-01-01 07:00:00;8932.25100000
SE;SUDESTE;2020-01-01 07:00:00;29278.85299999
N;NORTE;2020-01-01 08:00:00;4561.04999999
NE;NORDESTE;2020-01-01 08:00:00;8227.92399999
S;SUL;2020-01-01 08:00:00;9142.24100000
SE;SUDESTE;2020-01-01 08:00:00;30105.05150000
N;NORTE;2020-01-01 09:00:00;4571.54200000
NE;NORDESTE;2020-01-01 09:00:00;8203.37799999
S;SUL;2020-01-01 09:00:00;9370.01600000
SE;SUDESTE;2020-01-01 09:00:00;30934.24049999
N;NORTE;2020-01-01 10:00:00;4537.64900000
NE;NORDESTE;2020-01-01 10:00:00;8203.91499999
S;SUL;2020-01-01 10:00:00;9585.58300000
SE;SUDESTE;2020-01-01 10:00:00;31801.25349999
N;NORTE;2020-01-01 11:00:00;4518.63500000
NE;NORDESTE;2020-01-01 11:00:00;8351.31900000
S;SUL;2020-01-01 11:00:00;9665.39800000
SE;SUDESTE;2020-01-01 11:00:00;32206.75199999
N;NORTE;2020-01-01 12:00:00;4503.07799999
NE;NORDESTE;2020-01-01 12:00:00;8307.78999999
S;SUL;2020-01-01 12:00:00;9496.05400000
SE;SUDESTE;2020-01-01 12:00:00;32063.38549999
N;NORTE;2020-01-01 13:00:00;4538.42500000
NE;NORDESTE;2020-01-01 13:00:00;8264.71200000
S;SUL;2020-01-01 13:00:00;9514.70199999
SE;SUDESTE;2020-01-01 13:00:00;31664.44399999
N;NORTE;2020-01-01 14:00:00;4580.74999999
NE;NORDESTE;2020-01-01 14:00:00;8253.22600000
S;SUL;2020-01-01 14:00:00;9609.86900000
SE;SUDESTE;2020-01-01 14:00:00;31575.22649999
N;NORTE;2020-01-01 15:00:00;4571.11799999
NE;NORDESTE;2020-01-01 15:00:00;8271.73000000
S;SUL;2020-01-01 15:00:00;9634.79700000
SE;SUDESTE;2020-01-01 15:00:00;31684.95849999
N;NORTE;2020-01-01 16:00:00;4537.21300000
NE;NORDESTE;2020-01-01 16:00:00;8405.14000000
S;SUL;2020-01-01 16:00:00;9725.73300000
SE;SUDESTE;2020-01-01 16:00:00;32204.08100000
N;NORTE;2020-01-01 17:00:00;4582.35799999
NE;NORDESTE;2020-01-01 17:00:00;8777.40499999
S;SUL;2020-01-01 17:00:00;9847.97600000
SE;SUDESTE;2020-01-01 17:00:00;32976.01249999
N;NORTE;2020-01-01 18:00:00;4885.62100000
NE;NORDESTE;2020-01-01 18:00:00;10059.24100000
S;SUL;2020-01-01 18:00:00;9948.73700000
SE;SUDESTE;2020-01-01 18:00:00;34888.36500000
N;NORTE;2020-01-01 19:00:00;5194.12000000
NE;NORDESTE;2020-01-01 19:00:00;10317.96800000
S;SUL;2020-01-01 19:00:00;10763.90399999
SE;SUDESTE;2020-01-01 19:00:00;38572.75799999
N;NORTE;2020-01-01 20:00:00;5331.43499999
NE;NORDESTE;2020-01-01 20:00:00;10307.49200000
S;SUL;2020-01-01 20:00:00;11522.14100000
SE;SUDESTE;2020-01-01 20:00:00;39314.78049999
N;NORTE;2020-01-01 21:00:00;5411.98500000
NE;NORDESTE;2020-01-01 21:00:00;10518.92199999
S;SUL;2020-01-01 21:00:00;11633.05200000
SE;SUDESTE;2020-01-01 21:00:00;39236.21100000
N;NORTE;2020-01-01 22:00:00;5492.63299999
NE;NORDESTE;2020-01-01 22:00:00;10565.12600000
S;SUL;2020-01-01 22:00:00;11471.21600000
