id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2003-01-01 00:00:00;2700.69999999
NE;NORDESTE;2003-01-01 00:00:00;5707.45000000
S;SUL;2003-01-01 00:00:00;6690.31000366
SE;SUDESTE;2003-01-01 00:00:00;21092.86999633
N;NORTE;2003-01-01 01:00:00;2648.19999999
NE;NORDESTE;2003-01-01 01:00:00;5539.18000000
S;SUL;2003-01-01 01:00:00;5996.35999145
SE;SUDESTE;2003-01-01 01:00:00;21448.52000854
N;NORTE;2003-01-01 02:00:00;2621.50000000
NE;NORDESTE;2003-01-01 02:00:00;5400.94999999
S;SUL;2003-01-01 02:00:00;5185.75999145
SE;SUDESTE;2003-01-01 02:00:00;21329.34000854
N;NORTE;2003-01-01 03:00:00;2594.39999999
NE;NORDESTE;2003-01-01 03:00:00;5262.39999999
S;SUL;2003-01-01 03:00:00;4876.49000854
SE;SUDESTE;2003-01-01 03:00:00;20672.36999145
N;NORTE;2003-01-01 04:00:00;2585.00000000
NE;NORDESTE;2003-01-01 04:00:00;5169.12999999
S;SUL;2003-01-01 04:00:00;4709.53999023
SE;SUDESTE;2003-01-01 04:00:00;20073.30000976
N;NORTE;2003-01-01 05:00:00;2563.29999999
NE;NORDESTE;2003-01-01 05:00:00;5081.73000000
S;SUL;2003-01-01 05:00:00;4632.72999267
SE;SUDESTE;2003-01-01 05:00:00;19804.15000732
N;NORTE;2003-01-01 06:00:00;2567.00000000
NE;NORDESTE;2003-01-01 06:00:00;4587.21999999
S;SUL;2003-01-01 06:00:00;4312.02999267
SE;SUDESTE;2003-01-01 06:00:00;18586.13000732
N;NORTE;2003-01-01 07:00:00;2435.80000000
NE;NORDESTE;2003-01-01 07:00:00;4344.26000000
S;SUL;2003-01-01 07:00:00;4101.41998901
SE;SUDESTE;2003-01-01 07:00:00;17625.46001098
N;NORTE;2003-01-01 08:00:00;2373.10000000
NE;NORDESTE;2003-01-01 08:00:00;4371.18000000
S;SUL;2003-01-01 08:00:00;4246.86998901
SE;SUDESTE;2003-01-01 08:00:00;18037.65001098
N;NORTE;2003-01-01 09:00:00;2328.69999999
NE;NORDESTE;2003-01-01 09:00:00;4428.93000000
S;SUL;2003-01-01 09:00:00;4516.64000244
SE;SUDESTE;2003-01-01 09:00:00;18659.86999755
N;NORTE;2003-01-01 10:00:00;2338.59999999
NE;NORDESTE;2003-01-01 10:00:00;4462.67000000
S;SUL;2003-01-01 10:00:00;4678.70000000
SE;SUDESTE;2003-01-01 10:00:00;19151.03000000
N;NORTE;2003-01-01 11:00:00;2346.40000000
NE;NORDESTE;2003-01-01 11:00:00;4493.42000000
S;SUL;2003-01-01 11:00:00;4760.86000976
SE;SUDESTE;2003-01-01 11:00:00;19269.57999023
N;NORTE;2003-01-01 12:00:00;2349.69999999
NE;NORDESTE;2003-01-01 12:00:00;4481.50000000
S;SUL;2003-01-01 12:00:00;4614.97000122
SE;SUDESTE;2003-01-01 12:00:00;19167.83999877
N;NORTE;2003-01-01 13:00:00;2335.50000000
NE;NORDESTE;2003-01-01 13:00:00;4456.03000000
S;SUL;2003-01-01 13:00:00;4581.38001098
SE;SUDESTE;2003-01-01 13:00:00;18934.72998901
N;NORTE;2003-01-01 14:00:00;2344.19999999
NE;NORDESTE;2003-01-01 14:00:00;4460.78000000
S;SUL;2003-01-01 14:00:00;4643.63999633
SE;SUDESTE;2003-01-01 14:00:00;18788.88000366
N;NORTE;2003-01-01 15:00:00;2368.39999999
NE;NORDESTE;2003-01-01 15:00:00;4489.32000000
S;SUL;2003-01-01 15:00:00;4677.80999755
SE;SUDESTE;2003-01-01 15:00:00;18764.57000244
N;NORTE;2003-01-01 16:00:00;2357.69999999
NE;NORDESTE;2003-01-01 16:00:00;4505.21999999
S;SUL;2003-01-01 16:00:00;4770.06999511
SE;SUDESTE;2003-01-01 16:00:00;18895.99000488
N;NORTE;2003-01-01 17:00:00;2364.60000000
NE;NORDESTE;2003-01-01 17:00:00;4461.53000000
S;SUL;2003-01-01 17:00:00;4795.34000854
SE;SUDESTE;2003-01-01 17:00:00;19169.85999145
N;NORTE;2003-01-01 18:00:00;2357.20000000
NE;NORDESTE;2003-01-01 18:00:00;4566.14999999
S;SUL;2003-01-01 18:00:00;4961.65999755
SE;SUDESTE;2003-01-01 18:00:00;19515.57000244
N;NORTE;2003-01-01 19:00:00;2501.30000000
NE;NORDESTE;2003-01-01 19:00:00;6009.33999999
S;SUL;2003-01-01 19:00:00;5048.10000610
SE;SUDESTE;2003-01-01 19:00:00;21012.16999389
N;NORTE;2003-01-01 20:00:00;2731.10000000
NE;NORDESTE;2003-01-01 20:00:00;6412.86000000
S;SUL;2003-01-01 20:00:00;5865.00000000
SE;SUDESTE;2003-01-01 20:00:00;25275.69000000
N;NORTE;2003-01-01 21:00:00;2708.50000000
NE;NORDESTE;2003-01-01 21:00:00;6271.27000000
S;SUL;2003-01-01 21:00:00;6895.30999145
SE;SUDESTE;2003-01-01 21:00:00;25830.06000854
N;NORTE;2003-01-01 22:00:00;2679.69999999
