id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2002-01-01 00:00:00;2094.69999999
NE;NORDESTE;2002-01-01 00:00:00;4522.96000000
S;SUL;2002-01-01 00:00:00;5388.08999633
SE;SUDESTE;2002-01-01 00:00:00;18131.78000366
N;NORTE;2002-01-01 01:00:00;2058.69999999
NE;NORDESTE;2002-01-01 01:00:00;4425.93999999
S;SUL;2002-01-01 01:00:00;5161.02999267
SE;SUDESTE;2002-01-01 01:00:00;17731.34000732
N;NORTE;2002-01-01 02:00:00;2022.90000000
NE;NORDESTE;2002-01-01 02:00:00;4304.59000000
S;SUL;2002-01-01 02:00:00;4775.14001464
SE;SUDESTE;2002-01-01 02:00:00;16934.62998535
N;NORTE;2002-01-01 03:00:00;2004.80000000
NE;NORDESTE;2002-01-01 03:00:00;4177.42000000
S;SUL;2002-01-01 03:00:00;4449.48999328
SE;SUDESTE;2002-01-01 03:00:00;16118.95000671
N;NORTE;2002-01-01 04:00:00;1986.60000000
NE;NORDESTE;2002-01-01 04:00:00;4097.30999999
S;SUL;2002-01-01 04:00:00;4266.49998779
SE;SUDESTE;2002-01-01 04:00:00;15581.74001220
N;NORTE;2002-01-01 05:00:00;1990.60000000
NE;NORDESTE;2002-01-01 05:00:00;4036.43999999
S;SUL;2002-01-01 05:00:00;4227.03999328
SE;SUDESTE;2002-01-01 05:00:00;15344.66000671
N;NORTE;2002-01-01 06:00:00;1996.79999999
NE;NORDESTE;2002-01-01 06:00:00;3780.48000000
S;SUL;2002-01-01 06:00:00;3924.64999389
SE;SUDESTE;2002-01-01 06:00:00;14490.83000610
N;NORTE;2002-01-01 07:00:00;1873.40000000
NE;NORDESTE;2002-01-01 07:00:00;3590.51999999
S;SUL;2002-01-01 07:00:00;3720.16999511
SE;SUDESTE;2002-01-01 07:00:00;13803.81000488
N;NORTE;2002-01-01 08:00:00;1803.19999999
NE;NORDESTE;2002-01-01 08:00:00;3586.45000000
S;SUL;2002-01-01 08:00:00;3876.71999816
