id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2005-01-01 00:00:00;3046.09999999
NE;NORDESTE;2005-01-01 00:00:00;6581.10000000
S;SUL;2005-01-01 00:00:00;6402.13000488
SE;SUDESTE;2005-01-01 00:00:00;23842.81999511
N;NORTE;2005-01-01 01:00:00;2961.00000000
NE;NORDESTE;2005-01-01 01:00:00;6342.50000000
S;SUL;2005-01-01 01:00:00;6211.18000000
SE;SUDESTE;2005-01-01 01:00:00;23395.86000000
N;NORTE;2005-01-01 02:00:00;2940.80000000
NE;NORDESTE;2005-01-01 02:00:00;6179.74999999
S;SUL;2005-01-01 02:00:00;5809.63000366
SE;SUDESTE;2005-01-01 02:00:00;22541.86999633
N;NORTE;2005-01-01 03:00:00;2929.90000000
NE;NORDESTE;2005-01-01 03:00:00;6019.27999999
S;SUL;2005-01-01 03:00:00;5523.57001342
SE;SUDESTE;2005-01-01 03:00:00;21986.04998657
N;NORTE;2005-01-01 04:00:00;2899.70000000
NE;NORDESTE;2005-01-01 04:00:00;5922.94999999
S;SUL;2005-01-01 04:00:00;5311.73001342
SE;SUDESTE;2005-01-01 04:00:00;21185.74998657
N;NORTE;2005-01-01 05:00:00;2897.89999999
NE;NORDESTE;2005-01-01 05:00:00;5811.91999999
S;SUL;2005-01-01 05:00:00;5221.07000000
SE;SUDESTE;2005-01-01 05:00:00;20768.46999999
N;NORTE;2005-01-01 06:00:00;2858.70000000
NE;NORDESTE;2005-01-01 06:00:00;5237.41000000
S;SUL;2005-01-01 06:00:00;4889.57999755
SE;SUDESTE;2005-01-01 06:00:00;19596.93000244
N;NORTE;2005-01-01 07:00:00;2718.80000000
NE;NORDESTE;2005-01-01 07:00:00;4913.35000000
S;SUL;2005-01-01 07:00:00;4645.97000488
SE;SUDESTE;2005-01-01 07:00:00;18631.43999511
N;NORTE;2005-01-01 08:00:00;2671.80000000
NE;NORDESTE;2005-01-01 08:00:00;4955.25000000
S;SUL;2005-01-01 08:00:00;4767.40998535
SE;SUDESTE;2005-01-01 08:00:00;19185.84001464
N;NORTE;2005-01-01 09:00:00;2671.19999999
NE;NORDESTE;2005-01-01 09:00:00;5011.00000000
