id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2000-01-01 00:00:00;2373.69999999
NE;NORDESTE;2000-01-01 00:00:00;5340.20000000
S;SUL;2000-01-01 00:00:00;5777.00000000
SE;SUDESTE;2000-01-01 00:00:00;21182.99999999
N;NORTE;2000-01-01 01:00:00;2331.60000000
NE;NORDESTE;2000-01-01 01:00:00;5180.79999999
S;SUL;2000-01-01 01:00:00;5580.70000000
SE;SUDESTE;2000-01-01 01:00:00;20409.89999999
N;NORTE;2000-01-01 02:00:00;2332.89999999
NE;NORDESTE;2000-01-01 02:00:00;5068.60000000
S;SUL;2000-01-01 02:00:00;5098.70000000
SE;SUDESTE;2000-01-01 02:00:00;19787.39999999
N;NORTE;2000-01-01 03:00:00;2311.60000000
NE;NORDESTE;2000-01-01 03:00:00;4905.10000000
S;SUL;2000-01-01 03:00:00;4753.70000000
SE;SUDESTE;2000-01-01 03:00:00;19088.99999999
N;NORTE;2000-01-01 04:00:00;2287.80000000
NE;NORDESTE;2000-01-01 04:00:00;4811.70000000
S;SUL;2000-01-01 04:00:00;4584.10000000
SE;SUDESTE;2000-01-01 04:00:00;18589.10000000
N;NORTE;2000-01-01 05:00:00;2255.89999999
NE;NORDESTE;2000-01-01 05:00:00;4684.89999999
S;SUL;2000-01-01 05:00:00;4515.20000000
SE;SUDESTE;2000-01-01 05:00:00;18119.09999999
N;NORTE;2000-01-01 06:00:00;2265.89999999
NE;NORDESTE;2000-01-01 06:00:00;4190.89999999
S;SUL;2000-01-01 06:00:00;4270.60000000
SE;SUDESTE;2000-01-01 06:00:00;17004.19999999
N;NORTE;2000-01-01 07:00:00;2158.29999999
NE;NORDESTE;2000-01-01 07:00:00;3903.10000000
S;SUL;2000-01-01 07:00:00;3808.29999999
SE;SUDESTE;2000-01-01 07:00:00;16048.20000000
N;NORTE;2000-01-01 08:00:00;2107.29999999
NE;NORDESTE;2000-01-01 08:00:00;3880.80000000
S;SUL;2000-01-01 08:00:00;3965.20000000
SE;SUDESTE;2000-01-01 08:00:00;16332.00000000
N;NORTE;2000-01-01 09:00:00;2092.69999999
NE;NORDESTE;2000-01-01 09:00:00;3955.10000000
S;SUL;2000-01-01 09:00:00;4166.60000000
SE;SUDESTE;2000-01-01 09:00:00;16932.40000000
N;NORTE;2000-01-01 10:00:00;2111.19999999
NE;NORDESTE;2000-01-01 10:00:00;4000.80000000
S;SUL;2000-01-01 10:00:00;4338.00000000
SE;SUDESTE;2000-01-01 10:00:00;17514.89999999
N;NORTE;2000-01-01 11:00:00;2088.60000000
NE;NORDESTE;2000-01-01 11:00:00;4024.60000000
S;SUL;2000-01-01 11:00:00;4391.30000000
SE;SUDESTE;2000-01-01 11:00:00;17711.20000000
N;NORTE;2000-01-01 12:00:00;2097.19999999
NE;NORDESTE;2000-01-01 12:00:00;4025.70000000
S;SUL;2000-01-01 12:00:00;4249.50000000
SE;SUDESTE;2000-01-01 12:00:00;17537.40000000
N;NORTE;2000-01-01 13:00:00;2083.69999999
NE;NORDESTE;2000-01-01 13:00:00;3989.80000000
S;SUL;2000-01-01 13:00:00;4135.60000000
SE;SUDESTE;2000-01-01 13:00:00;17120.50000000
N;NORTE;2000-01-01 14:00:00;2095.50000000
NE;NORDESTE;2000-01-01 14:00:00;3995.60000000
S;SUL;2000-01-01 14:00:00;4116.39999999
SE;SUDESTE;2000-01-01 14:00:00;16875.19999999
N;NORTE;2000-01-01 15:00:00;2104.90000000
NE;NORDESTE;2000-01-01 15:00:00;4002.30000000
S;SUL;2000-01-01 15:00:00;4151.89999999
SE;SUDESTE;2000-01-01 15:00:00;16933.69999999
N;NORTE;2000-01-01 16:00:00;2122.50000000
NE;NORDESTE;2000-01-01 16:00:00;3996.70000000
S;SUL;2000-01-01 16:00:00;4220.20000000
SE;SUDESTE;2000-01-01 16:00:00;17206.80000000
N;NORTE;2000-01-01 17:00:00;2120.89999999
NE;NORDESTE;2000-01-01 17:00:00;4014.89999999
S;SUL;2000-01-01 17:00:00;4345.59999999
SE;SUDESTE;2000-01-01 17:00:00;17915.70000000
N;NORTE;2000-01-01 18:00:00;2161.90000000
NE;NORDESTE;2000-01-01 18:00:00;4348.50000000
S;SUL;2000-01-01 18:00:00;4636.29999999
SE;SUDESTE;2000-01-01 18:00:00;19353.00000000
N;NORTE;2000-01-01 19:00:00;2392.40000000
NE;NORDESTE;2000-01-01 19:00:00;5815.00000000
S;SUL;2000-01-01 19:00:00;4905.10000000
SE;SUDESTE;2000-01-01 19:00:00;21502.89999999
N;NORTE;2000-01-01 20:00:00;2543.00000000
NE;NORDESTE;2000-01-01 20:00:00;6103.39999999
S;SUL;2000-01-01 20:00:00;5983.20000000
SE;SUDESTE;2000-01-01 20:00:00;24546.30000000
N;NORTE;2000-01-01 21:00:00;2536.10000000
NE;NORDESTE;2000-01-01 21:00:00;6005.70000000
S;SUL;2000-01-01 21:00:00;6886.30000000
SE;SUDESTE;2000-01-01 21:00:00;24424.00000000
N;NORTE;2000-01-01 22:00:00;2487.60000000
NE;NORDESTE;2000-01-01 22:00:00;5838.20000000
S;SUL;2000-01-01 22:00:00;6523.30000000
SE;SUDESTE;2000-01-01 22:00:00;23406.90000000
N;NORTE;2000-01-01 23:00:00;2381.10000000
NE;NORDESTE;2000-01-01 23:00:00;5430.50000000
S;SUL;2000-01-01 23:00:00;5812.80000000
SE;SUDESTE;2000-01-01 23:00:00;21561.10000000
N;NORTE;2000-01-02 00:00:00;2341.69999999
NE;NORDESTE;2000-01-02 00:00:00;5090.29999999
S;SUL;2000-01-02 00:00:00;5135.70000000
SE;SUDESTE;2000-01-02 00:00:00;19561.10000000
N;NORTE;2000-01-02 01:00:00;2318.60000000
NE;NORDESTE;2000-01-02 01:00:00;4933.40000000
S;SUL;2000-01-02 01:00:00;4702.89999999
SE;SUDESTE;2000-01-02 01:00:00;18387.29999999
N;NORTE;2000-01-02 02:00:00;2304.00000000
NE;NORDESTE;2000-01-02 02:00:00;4830.20000000
S;SUL;2000-01-02 02:00:00;4579.20000000
SE;SUDESTE;2000-01-02 02:00:00;17623.29999999
N;NORTE;2000-01-02 03:00:00;2268.40000000
NE;NORDESTE;2000-01-02 03:00:00;4785.90000000
S;SUL;2000-01-02 03:00:00;4448.50000000
SE;SUDESTE;2000-01-02 03:00:00;17266.80000000
N;NORTE;2000-01-02 04:00:00;2246.10000000
NE;NORDESTE;2000-01-02 04:00:00;4741.50000000
S;SUL;2000-01-02 04:00:00;4426.30000000
SE;SUDESTE;2000-01-02 04:00:00;17012.30000000
N;NORTE;2000-01-02 05:00:00;2240.00000000
NE;NORDESTE;2000-01-02 05:00:00;4733.59999999
S;SUL;2000-01-02 05:00:00;4358.00000000
