id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2010-01-01 00:00:00;3690.89000000
NE;NORDESTE;2010-01-01 00:00:00;7608.50999999
S;SUL;2010-01-01 00:00:00;6495.97305170
SE;SUDESTE;2010-01-01 00:00:00;27082.30872360
N;NORTE;2010-01-01 01:00:00;3625.69000000
NE;NORDESTE;2010-01-01 01:00:00;7299.06000000
S;SUL;2010-01-01 01:00:00;6233.79106269
SE;SUDESTE;2010-01-01 01:00:00;26341.97035510
N;NORTE;2010-01-01 02:00:00;3567.47999999
NE;NORDESTE;2010-01-01 02:00:00;7132.67000000
S;SUL;2010-01-01 02:00:00;5817.12800890
SE;SUDESTE;2010-01-01 02:00:00;25456.30848280
N;NORTE;2010-01-01 03:00:00;3554.87000000
NE;NORDESTE;2010-01-01 03:00:00;7018.01000000
S;SUL;2010-01-01 03:00:00;5515.46163770
SE;SUDESTE;2010-01-01 03:00:00;24400.40779875
N;NORTE;2010-01-01 04:00:00;3536.65000000
NE;NORDESTE;2010-01-01 04:00:00;6893.37000000
S;SUL;2010-01-01 04:00:00;5328.37670929
SE;SUDESTE;2010-01-01 04:00:00;23697.52318930
N;NORTE;2010-01-01 05:00:00;3504.88000000
NE;NORDESTE;2010-01-01 05:00:00;6753.50000000
S;SUL;2010-01-01 05:00:00;5245.85891639
SE;SUDESTE;2010-01-01 05:00:00;23219.59908827
N;NORTE;2010-01-01 06:00:00;3467.00000000
NE;NORDESTE;2010-01-01 06:00:00;6132.07000000
S;SUL;2010-01-01 06:00:00;4981.23314470
SE;SUDESTE;2010-01-01 06:00:00;22044.36518257
N;NORTE;2010-01-01 07:00:00;3327.34999999
NE;NORDESTE;2010-01-01 07:00:00;5839.29000000
S;SUL;2010-01-01 07:00:00;4787.40635430
SE;SUDESTE;2010-01-01 07:00:00;21341.67921401
N;NORTE;2010-01-01 08:00:00;3236.82000000
NE;NORDESTE;2010-01-01 08:00:00;5853.40000000
S;SUL;2010-01-01 08:00:00;4988.36805056
SE;SUDESTE;2010-01-01 08:00:00;21539.58502269
N;NORTE;2010-01-01 09:00:00;3196.22000000
NE;NORDESTE;2010-01-01 09:00:00;5935.56000000
S;SUL;2010-01-01 09:00:00;5254.15669400
SE;SUDESTE;2010-01-01 09:00:00;22261.75798525
N;NORTE;2010-01-01 10:00:00;3191.94000000
NE;NORDESTE;2010-01-01 10:00:00;5995.86999999
S;SUL;2010-01-01 10:00:00;5505.22916930
SE;SUDESTE;2010-01-01 10:00:00;23278.24812477
N;NORTE;2010-01-01 11:00:00;3202.04000000
NE;NORDESTE;2010-01-01 11:00:00;6046.60000000
S;SUL;2010-01-01 11:00:00;5602.83998609
SE;SUDESTE;2010-01-01 11:00:00;24034.94728654
N;NORTE;2010-01-01 12:00:00;3208.24000000
NE;NORDESTE;2010-01-01 12:00:00;6027.72000000
S;SUL;2010-01-01 12:00:00;5456.40207010
SE;SUDESTE;2010-01-01 12:00:00;24163.97736520
N;NORTE;2010-01-01 13:00:00;3185.49000000
NE;NORDESTE;2010-01-01 13:00:00;5990.32000000
S;SUL;2010-01-01 13:00:00;5343.67313859
SE;SUDESTE;2010-01-01 13:00:00;23762.35360516
N;NORTE;2010-01-01 14:00:00;3180.92000000
NE;NORDESTE;2010-01-01 14:00:00;5965.00000000
