id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2006-01-01 00:00:00;3247.16000000
NE;NORDESTE;2006-01-01 00:00:00;6572.49000000
S;SUL;2006-01-01 00:00:00;6199.08000000
SE;SUDESTE;2006-01-01 00:00:00;23942.92000000
N;NORTE;2006-01-01 01:00:00;3143.30999999
NE;NORDESTE;2006-01-01 01:00:00;6287.50000000
S;SUL;2006-01-01 01:00:00;5934.55000000
SE;SUDESTE;2006-01-01 01:00:00;23433.93000000
N;NORTE;2006-01-01 02:00:00;3139.92000000
NE;NORDESTE;2006-01-01 02:00:00;6127.14000000
S;SUL;2006-01-01 02:00:00;5511.72000000
SE;SUDESTE;2006-01-01 02:00:00;22402.99999999
N;NORTE;2006-01-01 03:00:00;3136.38000000
NE;NORDESTE;2006-01-01 03:00:00;5968.17000000
S;SUL;2006-01-01 03:00:00;5217.82000000
SE;SUDESTE;2006-01-01 03:00:00;21453.84000000
N;NORTE;2006-01-01 04:00:00;3084.43999999
NE;NORDESTE;2006-01-01 04:00:00;5897.50000000
S;SUL;2006-01-01 04:00:00;5083.36000000
SE;SUDESTE;2006-01-01 04:00:00;21038.53000000
N;NORTE;2006-01-01 05:00:00;3072.06000000
NE;NORDESTE;2006-01-01 05:00:00;5764.60999999
S;SUL;2006-01-01 05:00:00;5028.57000000
SE;SUDESTE;2006-01-01 05:00:00;20778.95000000
N;NORTE;2006-01-01 06:00:00;2994.82000000
NE;NORDESTE;2006-01-01 06:00:00;5211.25000000
S;SUL;2006-01-01 06:00:00;4813.06000000
SE;SUDESTE;2006-01-01 06:00:00;19755.12999999
N;NORTE;2006-01-01 07:00:00;2870.46000000
NE;NORDESTE;2006-01-01 07:00:00;4898.86000000
S;SUL;2006-01-01 07:00:00;4516.09000000
SE;SUDESTE;2006-01-01 07:00:00;18852.55000000
N;NORTE;2006-01-01 08:00:00;2880.81000000
NE;NORDESTE;2006-01-01 08:00:00;4872.72000000
S;SUL;2006-01-01 08:00:00;4666.97999999
SE;SUDESTE;2006-01-01 08:00:00;19205.77999999
N;NORTE;2006-01-01 09:00:00;2811.04000000
NE;NORDESTE;2006-01-01 09:00:00;4907.01999999
S;SUL;2006-01-01 09:00:00;4847.21999999
SE;SUDESTE;2006-01-01 09:00:00;20090.68000000
N;NORTE;2006-01-01 10:00:00;2850.81000000
NE;NORDESTE;2006-01-01 10:00:00;5001.68000000
S;SUL;2006-01-01 10:00:00;5046.22999999
SE;SUDESTE;2006-01-01 10:00:00;20850.12999999
N;NORTE;2006-01-01 11:00:00;2870.15000000
NE;NORDESTE;2006-01-01 11:00:00;5031.22000000
S;SUL;2006-01-01 11:00:00;5078.21999999
SE;SUDESTE;2006-01-01 11:00:00;21090.54000000
N;NORTE;2006-01-01 12:00:00;2853.08000000
NE;NORDESTE;2006-01-01 12:00:00;5050.28000000
S;SUL;2006-01-01 12:00:00;4911.55000000
SE;SUDESTE;2006-01-01 12:00:00;20856.12000000
N;NORTE;2006-01-01 13:00:00;2830.28000000
NE;NORDESTE;2006-01-01 13:00:00;5034.25999999
S;SUL;2006-01-01 13:00:00;4829.05000000
SE;SUDESTE;2006-01-01 13:00:00;20420.72000000
