id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2015-01-01 00:00:00;4865.85900000
NE;NORDESTE;2015-01-01 00:00:00;9345.52346655
S;SUL;2015-01-01 00:00:00;8054.92887313
SE;SUDESTE;2015-01-01 00:00:00;31919.32499999
N;NORTE;2015-01-01 01:00:00;4708.19600000
NE;NORDESTE;2015-01-01 01:00:00;8973.37146678
S;SUL;2015-01-01 01:00:00;8149.41416370
SE;SUDESTE;2015-01-01 01:00:00;31728.89599999
N;NORTE;2015-01-01 02:00:00;4698.68900000
NE;NORDESTE;2015-01-01 02:00:00;8839.30606714
S;SUL;2015-01-01 02:00:00;7914.00014257
SE;SUDESTE;2015-01-01 02:00:00;31222.71899999
N;NORTE;2015-01-01 03:00:00;4706.15900000
NE;NORDESTE;2015-01-01 03:00:00;8703.30066132
S;SUL;2015-01-01 03:00:00;7608.08877202
SE;SUDESTE;2015-01-01 03:00:00;30494.12300000
N;NORTE;2015-01-01 04:00:00;4749.80599999
NE;NORDESTE;2015-01-01 04:00:00;8497.34624561
S;SUL;2015-01-01 04:00:00;7328.81946183
SE;SUDESTE;2015-01-01 04:00:00;29826.27000000
N;NORTE;2015-01-01 05:00:00;4751.29799999
NE;NORDESTE;2015-01-01 05:00:00;8400.85978605
S;SUL;2015-01-01 05:00:00;7194.90425679
SE;SUDESTE;2015-01-01 05:00:00;29386.31199999
N;NORTE;2015-01-01 06:00:00;4680.88400000
NE;NORDESTE;2015-01-01 06:00:00;7618.00784799
S;SUL;2015-01-01 06:00:00;6856.21940772
SE;SUDESTE;2015-01-01 06:00:00;27631.78600000
N;NORTE;2015-01-01 07:00:00;4423.46800000
NE;NORDESTE;2015-01-01 07:00:00;7323.21615581
S;SUL;2015-01-01 07:00:00;6588.24263656
SE;SUDESTE;2015-01-01 07:00:00;26817.12099999
N;NORTE;2015-01-01 08:00:00;4292.15300000
NE;NORDESTE;2015-01-01 08:00:00;7359.27278956
S;SUL;2015-01-01 08:00:00;6861.06388196
SE;SUDESTE;2015-01-01 08:00:00;27505.59399999
N;NORTE;2015-01-01 09:00:00;4295.14800000
NE;NORDESTE;2015-01-01 09:00:00;7502.02158770
S;SUL;2015-01-01 09:00:00;7242.15096288
SE;SUDESTE;2015-01-01 09:00:00;28492.86599999
N;NORTE;2015-01-01 10:00:00;4278.17200000
NE;NORDESTE;2015-01-01 10:00:00;7613.57551542
S;SUL;2015-01-01 10:00:00;7552.68009882
SE;SUDESTE;2015-01-01 10:00:00;29392.88500000
N;NORTE;2015-01-01 11:00:00;4267.29099999
NE;NORDESTE;2015-01-01 11:00:00;7598.43558307
S;SUL;2015-01-01 11:00:00;7673.71639070
SE;SUDESTE;2015-01-01 11:00:00;29983.95100000
N;NORTE;2015-01-01 12:00:00;4250.09400000
NE;NORDESTE;2015-01-01 12:00:00;7657.13721946
S;SUL;2015-01-01 12:00:00;7431.71602984
SE;SUDESTE;2015-01-01 12:00:00;29931.21300000
N;NORTE;2015-01-01 13:00:00;4173.62699999
NE;NORDESTE;2015-01-01 13:00:00;7585.76609547
S;SUL;2015-01-01 13:00:00;7209.76528291
SE;SUDESTE;2015-01-01 13:00:00;29354.33200000
N;NORTE;2015-01-01 14:00:00;4172.71200000
NE;NORDESTE;2015-01-01 14:00:00;7571.30012399
S;SUL;2015-01-01 14:00:00;7197.78939124
SE;SUDESTE;2015-01-01 14:00:00;29052.02400000
N;NORTE;2015-01-01 15:00:00;4219.58400000
NE;NORDESTE;2015-01-01 15:00:00;7596.04000353
S;SUL;2015-01-01 15:00:00;7240.15015535
SE;SUDESTE;2015-01-01 15:00:00;29265.99300000
N;NORTE;2015-01-01 16:00:00;4235.64699999
