id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2017-01-01 00:00:00;4910.58200000
NE;NORDESTE;2017-01-01 00:00:00;9201.52400000
S;SUL;2017-01-01 00:00:00;8435.41100000
SE;SUDESTE;2017-01-01 00:00:00;32190.42900000
N;NORTE;2017-01-01 01:00:00;4806.85600000
NE;NORDESTE;2017-01-01 01:00:00;8898.38700000
S;SUL;2017-01-01 01:00:00;8475.22200000
SE;SUDESTE;2017-01-01 01:00:00;32041.08300000
N;NORTE;2017-01-01 02:00:00;4801.66100000
NE;NORDESTE;2017-01-01 02:00:00;8908.25600000
S;SUL;2017-01-01 02:00:00;8272.53000000
SE;SUDESTE;2017-01-01 02:00:00;31798.78299999
N;NORTE;2017-01-01 03:00:00;4873.42800000
NE;NORDESTE;2017-01-01 03:00:00;8934.81200000
S;SUL;2017-01-01 03:00:00;7953.07500000
SE;SUDESTE;2017-01-01 03:00:00;31075.76700000
N;NORTE;2017-01-01 04:00:00;4916.15899999
NE;NORDESTE;2017-01-01 04:00:00;8831.73700000
S;SUL;2017-01-01 04:00:00;7729.75000000
SE;SUDESTE;2017-01-01 04:00:00;30560.25900000
N;NORTE;2017-01-01 05:00:00;4877.59200000
NE;NORDESTE;2017-01-01 05:00:00;8748.80500000
S;SUL;2017-01-01 05:00:00;7610.68700000
SE;SUDESTE;2017-01-01 05:00:00;30137.61299999
N;NORTE;2017-01-01 06:00:00;4808.02799999
NE;NORDESTE;2017-01-01 06:00:00;8069.88299999
S;SUL;2017-01-01 06:00:00;7223.31300000
SE;SUDESTE;2017-01-01 06:00:00;28614.40900000
N;NORTE;2017-01-01 07:00:00;4542.39500000
NE;NORDESTE;2017-01-01 07:00:00;7778.32800000
S;SUL;2017-01-01 07:00:00;6984.08200000
SE;SUDESTE;2017-01-01 07:00:00;27617.85400000
N;NORTE;2017-01-01 08:00:00;4397.58900000
NE;NORDESTE;2017-01-01 08:00:00;7867.13399999
S;SUL;2017-01-01 08:00:00;7294.07500000
SE;SUDESTE;2017-01-01 08:00:00;28315.68399999
N;NORTE;2017-01-01 09:00:00;4285.86700000
NE;NORDESTE;2017-01-01 09:00:00;7948.08500000
S;SUL;2017-01-01 09:00:00;7619.57200000
SE;SUDESTE;2017-01-01 09:00:00;29321.20900000
N;NORTE;2017-01-01 10:00:00;4311.78299999
NE;NORDESTE;2017-01-01 10:00:00;7979.07899999
S;SUL;2017-01-01 10:00:00;7972.98700000
SE;SUDESTE;2017-01-01 10:00:00;30129.06700000
N;NORTE;2017-01-01 11:00:00;4262.19299999
NE;NORDESTE;2017-01-01 11:00:00;8015.97400000
S;SUL;2017-01-01 11:00:00;8169.29700000
SE;SUDESTE;2017-01-01 11:00:00;30642.63299999
N;NORTE;2017-01-01 12:00:00;4278.74000000
NE;NORDESTE;2017-01-01 12:00:00;7998.96200000
S;SUL;2017-01-01 12:00:00;8035.83400000
SE;SUDESTE;2017-01-01 12:00:00;30488.93000000
N;NORTE;2017-01-01 13:00:00;4269.06200000
NE;NORDESTE;2017-01-01 13:00:00;7980.64900000
S;SUL;2017-01-01 13:00:00;8041.73500000
SE;SUDESTE;2017-01-01 13:00:00;29954.34000000
N;NORTE;2017-01-01 14:00:00;4277.76499999
NE;NORDESTE;2017-01-01 14:00:00;7994.72299999
S;SUL;2017-01-01 14:00:00;8298.22200000
SE;SUDESTE;2017-01-01 14:00:00;29753.72900000
N;NORTE;2017-01-01 15:00:00;4324.94600000
NE;NORDESTE;2017-01-01 15:00:00;8034.33900000
S;SUL;2017-01-01 15:00:00;8498.53000000
SE;SUDESTE;2017-01-01 15:00:00;30143.86200000
N;NORTE;2017-01-01 16:00:00;4318.34300000
NE;NORDESTE;2017-01-01 16:00:00;8035.85900000
