id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2011-01-01 00:00:00;3876.47999999
NE;NORDESTE;2011-01-01 00:00:00;7496.97000000
S;SUL;2011-01-01 00:00:00;7145.22999999
SE;SUDESTE;2011-01-01 00:00:00;26950.58000000
N;NORTE;2011-01-01 01:00:00;3794.42000000
NE;NORDESTE;2011-01-01 01:00:00;7187.33000000
S;SUL;2011-01-01 01:00:00;6998.26000000
SE;SUDESTE;2011-01-01 01:00:00;26406.69999999
N;NORTE;2011-01-01 02:00:00;3788.01999999
NE;NORDESTE;2011-01-01 02:00:00;7091.73000000
S;SUL;2011-01-01 02:00:00;6598.40000000
SE;SUDESTE;2011-01-01 02:00:00;25368.79000000
N;NORTE;2011-01-01 03:00:00;3759.30999999
NE;NORDESTE;2011-01-01 03:00:00;6993.73000000
S;SUL;2011-01-01 03:00:00;6253.85000000
SE;SUDESTE;2011-01-01 03:00:00;24452.56000000
N;NORTE;2011-01-01 04:00:00;3662.64000000
NE;NORDESTE;2011-01-01 04:00:00;6861.47999999
S;SUL;2011-01-01 04:00:00;6048.32999999
SE;SUDESTE;2011-01-01 04:00:00;23879.68999999
N;NORTE;2011-01-01 05:00:00;3617.82000000
NE;NORDESTE;2011-01-01 05:00:00;6729.99000000
S;SUL;2011-01-01 05:00:00;6005.75000000
SE;SUDESTE;2011-01-01 05:00:00;23478.51999999
N;NORTE;2011-01-01 06:00:00;3565.37000000
NE;NORDESTE;2011-01-01 06:00:00;6038.17000000
S;SUL;2011-01-01 06:00:00;5657.90000000
SE;SUDESTE;2011-01-01 06:00:00;22323.00000000
N;NORTE;2011-01-01 07:00:00;3448.97000000
NE;NORDESTE;2011-01-01 07:00:00;5780.64000000
S;SUL;2011-01-01 07:00:00;5453.97999999
SE;SUDESTE;2011-01-01 07:00:00;21457.61999999
N;NORTE;2011-01-01 08:00:00;3389.17999999
NE;NORDESTE;2011-01-01 08:00:00;5849.43000000
S;SUL;2011-01-01 08:00:00;5644.47000000
SE;SUDESTE;2011-01-01 08:00:00;22008.39999999
N;NORTE;2011-01-01 09:00:00;3373.41999999
NE;NORDESTE;2011-01-01 09:00:00;5952.53999999
S;SUL;2011-01-01 09:00:00;6029.09000000
SE;SUDESTE;2011-01-01 09:00:00;22948.09000000
N;NORTE;2011-01-01 10:00:00;3368.45000000
NE;NORDESTE;2011-01-01 10:00:00;6033.60000000
S;SUL;2011-01-01 10:00:00;6175.04000000
SE;SUDESTE;2011-01-01 10:00:00;24017.06000000
N;NORTE;2011-01-01 11:00:00;3370.97999999
NE;NORDESTE;2011-01-01 11:00:00;6079.52000000
S;SUL;2011-01-01 11:00:00;6272.96000000
SE;SUDESTE;2011-01-01 11:00:00;24632.11000000
N;NORTE;2011-01-01 12:00:00;3360.95000000
NE;NORDESTE;2011-01-01 12:00:00;6111.32000000
S;SUL;2011-01-01 12:00:00;6099.94000000
SE;SUDESTE;2011-01-01 12:00:00;24681.52999999
N;NORTE;2011-01-01 13:00:00;3345.87000000
NE;NORDESTE;2011-01-01 13:00:00;6107.20000000
S;SUL;2011-01-01 13:00:00;5993.71000000
SE;SUDESTE;2011-01-01 13:00:00;24225.98000000
N;NORTE;2011-01-01 14:00:00;3352.89999999
NE;NORDESTE;2011-01-01 14:00:00;6096.65000000
S;SUL;2011-01-01 14:00:00;6010.61000000
SE;SUDESTE;2011-01-01 14:00:00;23755.55999999
N;NORTE;2011-01-01 15:00:00;3315.22999999
NE;NORDESTE;2011-01-01 15:00:00;6089.96000000
S;SUL;2011-01-01 15:00:00;6063.92000000
SE;SUDESTE;2011-01-01 15:00:00;23808.20999999
N;NORTE;2011-01-01 16:00:00;3315.49000000
NE;NORDESTE;2011-01-01 16:00:00;6075.57000000
S;SUL;2011-01-01 16:00:00;6134.33000000
SE;SUDESTE;2011-01-01 16:00:00;24213.20999999
N;NORTE;2011-01-01 17:00:00;3344.58000000
NE;NORDESTE;2011-01-01 17:00:00;6027.45000000
S;SUL;2011-01-01 17:00:00;6280.04999999
SE;SUDESTE;2011-01-01 17:00:00;24904.50999999
N;NORTE;2011-01-01 18:00:00;3331.22000000
NE;NORDESTE;2011-01-01 18:00:00;6254.24000000
S;SUL;2011-01-01 18:00:00;6580.09999999
SE;SUDESTE;2011-01-01 18:00:00;25927.67999999
N;NORTE;2011-01-01 19:00:00;3661.06000000
NE;NORDESTE;2011-01-01 19:00:00;7940.07000000
S;SUL;2011-01-01 19:00:00;6934.60999999
SE;SUDESTE;2011-01-01 19:00:00;28171.36000000
N;NORTE;2011-01-01 20:00:00;3947.14000000
NE;NORDESTE;2011-01-01 20:00:00;8315.14000000
S;SUL;2011-01-01 20:00:00;8040.75000000
SE;SUDESTE;2011-01-01 20:00:00;32171.17999999
N;NORTE;2011-01-01 21:00:00;3924.41999999
NE;NORDESTE;2011-01-01 21:00:00;8138.03000000
S;SUL;2011-01-01 21:00:00;8648.96999999
SE;SUDESTE;2011-01-01 21:00:00;32336.07000000
N;NORTE;2011-01-01 22:00:00;3906.86000000
NE;NORDESTE;2011-01-01 22:00:00;7968.15000000
S;SUL;2011-01-01 22:00:00;8285.87000000
SE;SUDESTE;2011-01-01 22:00:00;31259.33000000
N;NORTE;2011-01-01 23:00:00;3800.41000000
NE;NORDESTE;2011-01-01 23:00:00;7627.87000000
S;SUL;2011-01-01 23:00:00;7764.37000000
SE;SUDESTE;2011-01-01 23:00:00;29701.52000000
N;NORTE;2011-01-02 00:00:00;3768.89000000
NE;NORDESTE;2011-01-02 00:00:00;7235.20000000
S;SUL;2011-01-02 00:00:00;6989.47999999
SE;SUDESTE;2011-01-02 00:00:00;27313.81999999
N;NORTE;2011-01-02 01:00:00;3669.64000000
NE;NORDESTE;2011-01-02 01:00:00;6935.65000000
S;SUL;2011-01-02 01:00:00;6480.21000000
SE;SUDESTE;2011-01-02 01:00:00;25600.73000000
N;NORTE;2011-01-02 02:00:00;3600.43999999
NE;NORDESTE;2011-01-02 02:00:00;6705.33000000
S;SUL;2011-01-02 02:00:00;6192.86999999
SE;SUDESTE;2011-01-02 02:00:00;24598.93000000
N;NORTE;2011-01-02 03:00:00;3573.28000000
NE;NORDESTE;2011-01-02 03:00:00;6568.03000000
S;SUL;2011-01-02 03:00:00;6011.85000000
SE;SUDESTE;2011-01-02 03:00:00;23950.50999999
N;NORTE;2011-01-02 04:00:00;3551.71000000
NE;NORDESTE;2011-01-02 04:00:00;6464.89000000
S;SUL;2011-01-02 04:00:00;5933.71000000
SE;SUDESTE;2011-01-02 04:00:00;23507.99000000
N;NORTE;2011-01-02 05:00:00;3527.37000000
NE;NORDESTE;2011-01-02 05:00:00;6397.31000000
S;SUL;2011-01-02 05:00:00;5938.81000000
SE;SUDESTE;2011-01-02 05:00:00;23624.06000000
N;NORTE;2011-01-02 06:00:00;3474.53000000
NE;NORDESTE;2011-01-02 06:00:00;5910.53999999
S;SUL;2011-01-02 06:00:00;5785.80000000
SE;SUDESTE;2011-01-02 06:00:00;23196.42000000
N;NORTE;2011-01-02 07:00:00;3335.78000000
NE;NORDESTE;2011-01-02 07:00:00;5789.82000000
S;SUL;2011-01-02 07:00:00;5605.00000000
SE;SUDESTE;2011-01-02 07:00:00;22676.82000000
N;NORTE;2011-01-02 08:00:00;3318.12000000
NE;NORDESTE;2011-01-02 08:00:00;5976.92999999
S;SUL;2011-01-02 08:00:00;5919.88000000
SE;SUDESTE;2011-01-02 08:00:00;23633.93000000
N;NORTE;2011-01-02 09:00:00;3330.56000000
NE;NORDESTE;2011-01-02 09:00:00;6123.92000000
S;SUL;2011-01-02 09:00:00;6192.58000000
SE;SUDESTE;2011-01-02 09:00:00;24937.77000000
N;NORTE;2011-01-02 10:00:00;3352.08000000
NE;NORDESTE;2011-01-02 10:00:00;6296.56000000
S;SUL;2011-01-02 10:00:00;6525.28999999
SE;SUDESTE;2011-01-02 10:00:00;25969.04999999
N;NORTE;2011-01-02 11:00:00;3358.82999999
NE;NORDESTE;2011-01-02 11:00:00;6375.74000000
S;SUL;2011-01-02 11:00:00;6786.08000000
SE;SUDESTE;2011-01-02 11:00:00;26673.75000000
N;NORTE;2011-01-02 12:00:00;3407.50000000
NE;NORDESTE;2011-01-02 12:00:00;6417.71000000
S;SUL;2011-01-02 12:00:00;6670.13000000
